,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
0,2004-01-30 19:01:02,1075518062.0,a,0.407,36.65,0.0,1131.130005,0.0,0.0,underperform
1,2004-04-13 04:07:11,1081854431.0,a,0.375,31.87,-13.042291950886762,1129.439941,-0.14941377140816745,-12.892878179478595,underperform
2,2004-12-13 21:37:34,1103002654.0,a,0.323,23.84,-34.95225102319236,1198.680054,5.971908507545951,-40.92415953073831,underperform
3,2005-01-22 05:17:19,1106399839.0,a,0.322,21.8,-40.518417462482944,1184.630005,4.729783469938099,-45.24820093242104,underperform
4,2006-01-09 02:35:16,1136802916.0,a,0.0,34.65,-5.457025920873124,1290.150024,14.058509481410145,-19.51553540228327,underperform
5,2006-06-21 11:01:16,1150912876.0,a,0.368,32.18,-12.19645293315143,1252.199951,10.703451014899041,-22.899903948050472,underperform
6,2006-08-19 10:42:01,1156009321.0,a,0.396,31.8,-13.23328785811732,1295.430054,14.525301978882608,-27.758589836999928,underperform
7,2007-02-20 17:46:56,1172022416.0,a,0.411,32.48,-11.377899045020468,1459.680054,29.046179267430887,-40.42407831245136,underperform
8,2007-04-12 05:07:51,1176379671.0,a,0.411,34.62,-5.538881309686224,1447.800049,27.995901673565804,-33.53478298325203,underperform
9,2008-01-23 19:28:50,1201145330.0,a,0.645,32.16,-12.251023192360169,1338.599976,18.3418325111091,-30.59285570346927,underperform
10,2008-02-14 04:44:34,1202993074.0,a,0.645,32.68,-10.832196452933148,1348.859985,19.248890846989784,-30.081087299922935,underperform
11,2008-04-26 04:49:23,1209210563.0,a,0.67,31.53,-13.969986357435191,1379.930054,21.995707646354933,-35.96569400379013,underperform
12,2008-12-06 19:21:33,1228620093.0,a,0.83,17.26,-52.905866302864936,870.73999,-23.020343713718386,-29.88552258914655,underperform
13,2009-08-02 05:46:24,1249217184.0,a,0.83,23.22,-36.643929058663026,986.75,-12.76422730913234,-23.87970174953069,underperform
14,2011-08-02 06:45:37,1312292737.0,a,54.36,40.79,11.296043656207368,1254.050049,10.867012938976892,0.4290307172304768,outperform
15,2011-11-08 05:04:16,1320757456.0,a,51.62,37.74,2.9740791268758624,1275.920044,12.80047725371762,-9.826398126841758,underperform
16,2013-05-14 00:28:58,1368516538.0,a,44.12,43.04,17.435197817189636,1650.339966,45.90188207411225,-28.466684256922616,underperform
17,2013-09-06 06:09:52,1378472992.0,a,56.39,47.68,30.095497953615286,1655.170044,46.32889558968069,-16.233397636065405,underperform
18,2004-04-13 04:20:10,1081855210.0,aa,0.595,34.26,-6.5211459754433845,1129.439941,-0.14941377140816745,-6.371732204035217,underperform
19,2004-09-09 16:15:45,1094771745.0,aa,0.561,32.89,-10.259208731241468,1118.380005,-1.1271913876955284,-9.13201734354594,underperform
20,2004-11-24 10:37:20,1101321440.0,aa,0.53,33.58,-8.376534788540246,1181.76001,4.476055340782865,-12.852590129323112,underperform
21,2004-12-05 00:36:42,1102235802.0,aa,0.53,32.86,-10.341064120054568,1190.329956,5.233699993662537,-15.574764113717105,underperform
22,2005-01-13 07:18:32,1105629512.0,aa,0.457,29.43,-19.699863574351976,1177.449951,4.095015232135061,-23.794878806487038,underperform
23,2005-02-07 03:48:37,1107776917.0,aa,0.457,29.37,-19.863574351978166,1201.719971,6.24065895944472,-26.104233311422885,underperform
24,2005-05-22 08:48:23,1116776903.0,aa,0.543,27.45,-25.102319236016367,1191.079956,5.300005369409333,-30.4023246054257,underperform
25,2006-06-20 04:32:21,1150803141.0,aa,0.526,29.1,-20.600272851296037,1240.119995,9.635496319452692,-30.23576917074873,underperform
26,2007-01-25 19:09:37,1169780977.0,aa,0.494,31.46,-14.16098226466575,1423.900024,25.882968156255394,-40.04395042092114,underperform
27,2007-02-23 09:03:42,1172250222.0,aa,0.494,34.75,-5.184174624829464,1451.189941,28.295592423967225,-33.47976704879669,underperform
28,2007-05-16 21:12:47,1179375167.0,aa,0.494,39.04,6.5211459754433845,1514.140015,33.86083017044535,-27.33968419500196,underperform
29,2007-06-22 06:39:12,1182519552.0,aa,0.503,40.34,10.068212824010928,1502.560059,32.83707905883019,-22.768866234819264,underperform
30,2007-10-11 20:57:59,1192161479.0,aa,0.47,38.08,3.9017735334242833,1554.410034,37.42098849194616,-33.51921495852188,underperform
31,2008-01-23 16:05:53,1201133153.0,aa,0.499,28.04,-23.4924965893588,1338.599976,18.3418325111091,-41.8343291004679,underperform
32,2008-10-28 00:52:22,1225180342.0,aa,0.672,9.04,-75.33424283765348,940.51001,-16.85217385776978,-58.48206897988369,underperform
33,2008-12-05 01:03:15,1228467795.0,aa,0.672,8.06,-78.0081855388813,876.070007,-22.549132007155972,-55.45905353172533,underperform
34,2008-12-06 09:33:46,1228584826.0,aa,0.672,8.15,-77.76261937244202,870.73999,-23.020343713718386,-54.74227565872363,underperform
35,2008-12-18 10:54:07,1229626447.0,aa,0.672,10.35,-71.75989085948157,885.2800289999999,-21.734900048027644,-50.02499081145393,underperform
36,2009-03-09 18:17:50,1236647870.0,aa,0.672,5.49,-85.02046384720326,676.530029,-40.189896297552465,-44.830567549650794,underperform
37,2011-09-03 09:21:23,1315066883.0,aa,48.26,12.04,-67.1487039563438,1218.890015,7.758613918123405,-74.9073178744672,underperform
38,2011-11-02 22:04:47,1320296687.0,aa,50.93,10.7,-70.8049113233288,1237.900024,9.439234971050038,-80.24414629437884,underperform
39,2011-11-05 21:29:24,1320553764.0,aa,50.93,10.93,-70.17735334242838,1237.900024,9.439234971050038,-79.61658831347842,underperform
40,2012-01-02 19:42:06,1325562126.0,aa,50.93,8.65,-76.39836289222373,1257.599976,11.180851930455155,-87.57921482267889,underperform
41,2012-03-09 07:34:06,1331307246.0,aa,54.5,9.77,-73.34242837653478,1370.869995,21.194733491310757,-94.53716186784554,underperform
42,2012-03-19 02:24:48,1332149088.0,aa,54.5,10.54,-71.24147339699863,1409.75,24.632004612060488,-95.87347800905911,underperform
43,2012-05-19 11:51:52,1337453512.0,aa,55.28,8.43,-76.99863574351978,1324.800049,17.121820051091294,-94.12045579461108,underperform
44,2012-07-29 16:51:57,1343605917.0,aa,56.42,8.45,-76.94406548431105,1360.02002,20.235517932352963,-97.17958341666402,underperform
45,2012-11-27 11:38:14,1354045094.0,aa,56.51,8.31,-77.32605729877217,1398.939941,23.67631791360712,-101.00237521237929,underperform
46,2013-01-22 17:52:37,1358905957.0,aa,53.49,9.16,-75.00682128240109,1492.560059,31.95300738220625,-106.95982866460734,underperform
47,2013-04-23 20:02:57,1366772577.0,aa,53.21,8.12,-77.84447476125513,1578.780029,39.57547072584288,-117.419945487098,underperform
48,2013-04-26 20:55:15,1367034915.0,aa,53.21,8.27,-77.43519781718963,1582.23999,39.88135607807522,-117.31655389526486,underperform
49,2013-09-01 04:25:11,1378034711.0,aa,52.71,7.7,-78.99045020463848,1638.170044,44.825973739419986,-123.81642394405847,underperform
50,2003-12-07 10:36:10,1070822170.0,aapl,0.072,20.85,-43.11050477489767,1069.719971,-5.429087171991339,-37.68141760290633,underperform
51,2004-02-03 07:33:34,1075822414.0,aapl,0.07,22.32,-39.09959072305593,1136.030029,0.4331972433177591,-39.53278796637369,underperform
52,2004-06-03 01:20:38,1086250838.0,aapl,0.0,28.92,-21.091405184174615,1116.640015,-1.281018975356421,-19.810386208818194,underperform
53,2004-08-10 02:02:44,1092128564.0,aapl,0.0,30.3,-17.326057298772163,1079.040039,-4.605126357690423,-12.72093094108174,underperform
